Updated 01/25/26 at 12:08am,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue,RdrftPosition Rank,RdrftValue
Tyler Badie,RB94,RB,DEN,1366.99,26.0,No,RB94,1116.99,,0
Erick All,TE52,TE,CIN,1365,25.4,No,TE52,1119,,0
Tai Felton,WR130,WR,MIN,1352,22.9,Yes,WR129,1174,,0
Mack Hollins,WR131,WR,NEP,1350,32.4,No,WR131,1143,,0
Spencer Rattler,QB40,QB,NOS,1347,25.3,No,QB41,1622.98,,0
Tahj Washington,WR132,WR,MIA,1340,24.7,No,WR128,1185,,0
Tyler Goodson,RB95,RB,IND,1336,25.2,No,RB96,1087,,0
Elijah Higgins,TE53,TE,ARI,1321,25.2,No,TE51,1149,,0
Damien Martinez,RB96,RB,GBP,1318,22.0,Yes,RB92,1147,,0
Elijah Moore,WR133,WR,DEN,1313,25.8,No,WR133,1100,,0
Zach Ertz,TE54,TE,WAS,1305,35.2,No,TE59,956,,0
Tyler Higbee,TE55,TE,LAR,1289,33.1,No,TE55,1099.99,,0
